A	A 1177
_ to _	have to be 65	back to the 64	has to be 60	going to be 58	is to be 46	on to the 46	need to be 45	had to be 42	likely to be 39	up to the 34	and to the 29	are to be 29	needs to be 29	down to the 28	seems to be 28	want to be 28	go to the 27	was to be 27	have to pay 26	not to be 26	seem to be 25	attention to the 24	time to time 24	used to be 24	according to the 23	it to the 23	able to get 22	close to the 21	have to go 21	said to be 21	seemed to be 21	seems to have 20	said to have 18	seem to have 18	what to do 18	going to have 17	want to know 17	it to be 16	and to be 15	appears to be 15	how to make 15	response to the 15	come to the 14	not to say 14	returned to the 14	want to go 14	what to say 14	appear to be 13	due to the 13	given to the 13	have to do 13	want to do 13	addition to the 12	as to the 12	going to do 12	going to get 12	like to see 12	nothing to do 12	out to be 12	out to the 12	seen to be 12	them to be 12	way to the 12	were to be 12	appears to have 11	have to take 11	need to know 11	supposed to be 11	up to a 11	want to see 11
_ to _ _	nothing to do with 11
_ to _ with	nothing to do with 11
_ to a	up to a 11
_ to be	have to be 65	has to be 60	going to be 58	is to be 46	need to be 45	had to be 42	likely to be 39	are to be 29	needs to be 29	seems to be 28	want to be 28	was to be 27	not to be 26	seem to be 25	used to be 24	said to be 21	seemed to be 21	it to be 16	and to be 15	appears to be 15	appear to be 13	out to be 12	seen to be 12	them to be 12	were to be 12	supposed to be 11
_ to do	what to do 18	have to do 13	want to do 13	going to do 12	nothing to do 12
_ to do _	nothing to do with 11
_ to do with	nothing to do with 11
_ to get	able to get 22	going to get 12
_ to go	have to go 21	want to go 14
_ to have	seems to have 20	said to have 18	seem to have 18	going to have 17	appears to have 11
_ to know	want to know 17	need to know 11
_ to make	how to make 15
_ to pay	have to pay 26
_ to say	not to say 14	what to say 14
_ to see	like to see 12	want to see 11
_ to take	have to take 11
_ to the	back to the 64	on to the 46	up to the 34	and to the 29	down to the 28	go to the 27	attention to the 24	according to the 23	it to the 23	close to the 21	response to the 15	come to the 14	returned to the 14	due to the 13	given to the 13	addition to the 12	as to the 12	out to the 12	way to the 12
_ to time	time to time 24
_ told	I told 58	she told 20	he told 14	be told 13	and told 11
_ told _	I told him 20	I told her 15	I told you 11
_ told her	I told her 15
_ told him	I told him 20
_ told you	I told you 11
_ too	is too 35	was too 31	not too 24	and too 22	far too 22	it too 19	are too 18	be too 17	all too 15
_ took	I took 38	and took 18	She took 15	she took 14	It took 13	he took 12
_ tool	the tool 11
_ tools	of tools 14
_ top	the top 56	on top 23
_ top _	the top of 30	on top of 22
_ top _ _	the top of the 15
_ top _ the	the top of the 15
_ top of	the top of 30	on top of 22
_ top of _	the top of the 15
_ top of the	the top of the 15
_ total	the total 27	a total 18
_ touch	in touch 19	to touch 13
_ touch _	in touch with 16
_ touch with	in touch with 16
_ tournament	the tournament 11
_ tow	the tow 15
_ town	the town 22
_ towplane	the towplane 18
_ track	the track 11
_ tradition	the tradition 14
_ traditional	the traditional 46
_ trailer	the trailer 14
_ train	to train 17	the train 13
_ training	of training 30	the training 14	a training 12	and training 12	drama training 11	your training 11
_ treat	to treat 11
_ treated	be treated 13
_ tree	the tree 17	a tree 16
_ trees	the trees 15	of trees 11
_ tried	I tried 21
_ tried _	I tried to 13
_ tried to	I tried to 13
_ trouble	the trouble 15
_ true	is true 16	the true 16	a true 13	be true 12
_ truth	the truth 25
_ try	to try 67	and try 19	I try 12	should try 11
_ try _	to try and 24	to try to 14
_ try and	to try and 24
_ try to	to try to 14
_ turn	to turn 54	in turn 25	the turn 18	you turn 12
_ turned	She turned 16	He turned 15	and turned 14	he turned 12
_ two	the two 133	or two 71	for two 34	of two 33	are two 32	and two 28	The two 26	in two 24	with two 16	between two 14	by two 14	these two 14	first two 13	to two 13	last two 11
_ two _	the two of 15
_ two of	the two of 15
_ type	the type 28
_ type _	the type of 20
_ type of	the type of 20
_ typed	he typed 17	Goldberg typed 15
_ typed _	he typed as 12
_ typed _ Harsnet	he typed as Harsnet 12
_ typed _ Harsnet _	he typed as Harsnet had 12
_ typed _ Harsnet had	he typed as Harsnet had 12
_ typed _ _	he typed as Harsnet 12
_ typed _ _ _	he typed as Harsnet had 12
_ typed _ _ had	he typed as Harsnet had 12
_ typed as	he typed as 12
_ typed as Harsnet	he typed as Harsnet 12
_ typed as Harsnet _	he typed as Harsnet had 12
_ typed as Harsnet had	he typed as Harsnet had 12
_ typed as _	he typed as Harsnet 12
_ typed as _ _	he typed as Harsnet had 12
_ typed as _ had	he typed as Harsnet had 12
_ under	and under 11
_ understand	to understand 58	do understand 14
_ unique	a unique 12
_ units	Class units 12
_ university	a university 11
_ unlikely	is unlikely 11
_ up	set up 44	it up 38	looked up 36	pick up 27	made up 26	picked up 25	got up 23	and up 20	end up 20	come up 19	the up 19	them up 19	give up 18	stood up 18	build up 16	make up 15	me up 15	put up 15	take up 14	brought up 12	gave up 12	is up 12	you up 12	keep up 11	setting up 11
_ up _	made up of 14	got up and 12
_ up and	got up and 12
_ up of	made up of 14
_ upper	the upper 29
_ upright	Stand upright 13
_ us	of us 79	to us 34	for us 28	Let us 21	with us 20	tell us 19	let us 15
_ use	to use 130	the use 53	for use 21	can use 18	and use 11
_ use _	the use of 52	to use the 21	to use a 17
_ use _ _	the use of the 12
_ use _ the	the use of the 12
_ use a	to use a 17
_ use of	the use of 52
_ use of _	the use of the 12
_ use of the	the use of the 12
_ use the	to use the 21
_ used	be used 88	I used 26	is used 24	are used 19	being used 14	been used 13	have used 13	was used 13
_ used _	I used to 19	be used to 16
_ used to	I used to 19	be used to 16
_ useful	is useful 17	be useful 13
_ using	by using 24	and using 12	of using 11
_ usual	the usual 22	as usual 16
_ usually	is usually 32	are usually 23	and usually 12
_ value	the value 20
_ value _	the value of 17
_ value of	the value of 17
_ variety	a variety 41
_ variety _	a variety of 41
_ variety of	a variety of 41
_ various	the various 28
_ very	a very 150	is very 82	the very 65	be very 48	was very 41	are very 39	and very 17	were very 15	not very 14	been very 13	it very 12	but very 11	of very 11
_ very _	is very important 15
_ very important	is very important 15
_ view	of view 33	the view 25
_ viewer	the viewer 13
_ village	the village 30
_ violence	of violence 11
_ virus	the virus 15
_ visit	to visit 18	a visit 11
_ visitor	health visitor 16
_ visual	the visual 18
_ vital	is vital 22	the vital 13	a vital 12
_ voice	the voice 31	The voice 12	his voice 11
_ waist	the waist 17
_ wait	to wait 16
_ wake	to wake 13
_ walk	to walk 25
_ walked	and walked 17	I walked 12
_ wall	the wall 46
_ walls	the walls 12
_ want	I want 101	you want 83	do want 47	did want 23	they want 23	not want 20	we want 13	who want 11
_ want _	I want to 62	you want to 53	do want to 34	did want to 18	they want to 13	not want to 11
_ want to	I want to 62	you want to 53	do want to 34	did want to 18	they want to 13	not want to 11
_ wanted	I wanted 52	he wanted 12	she wanted 12	He wanted 11
_ wanted _	I wanted to 25
_ wanted to	I wanted to 25
_ wants	he wants 12
_ war	the war 27
_ warm	a warm 12
_ was	it was 520	I was 495	It was 384	he was 265	there was 203	she was 191	He was 166	There was 121	which was 89	and was 83	She was 80	This was 77	who was 69	this was 59	what was 53	that was 50	That was 36	Leonard was 32	What was 31	Jay was 26	Lucy was 25	Cameron was 18	one was 15	voice was 13	brewery was 12	father was 12	man was 12	system was 12	work was 12	do was 11	mind was 11
_ was _	It was a 56	there was a 53	There was a 43	It was the 40	there was no 34	it was not 28	it was a 26	I was going 21	he was a 21	it was the 20	I was not 17	I was a 16	it was time 15	I was in 14	It was not 14	There was no 13	He was a 12	It was all 11	this was the 11
_ was _ _	I was going to 20
_ was _ to	I was going to 20
_ was a	It was a 56	there was a 53	There was a 43	it was a 26	he was a 21	I was a 16	He was a 12
_ was all	It was all 11
_ was going	I was going 21
_ was going _	I was going to 20
_ was going to	I was going to 20
_ was in	I was in 14
_ was no	there was no 34	There was no 13
_ was not	it was not 28	I was not 17	It was not 14
_ was the	It was the 40	it was the 20	this was the 11
_ was time	it was time 15
_ watch	to watch 27
_ watched	I watched 13
_ water	the water 44	of water 18
_ way	the way 203	a way 49	this way 44	same way 24	no way 23	my way 22	his way 19	some way 18	any way 16	her way 15	that way 14	their way 14	The way 13	one way 12	own way 11
_ way _	a way of 17	the way to 17	the way in 13	the way of 13	a way that 12	same way as 12	the way they 12
_ way _ _	the way in which 13
_ way _ which	the way in which 13
_ way as	same way as 12
_ way in	the way in 13
_ way in _	the way in which 13
_ way in which	the way in which 13
_ way of	a way of 17	the way of 13
_ way that	a way that 12
_ way they	the way they 12
_ way to	the way to 17
_ ways	different ways 17	many ways 13
_ we	that we 86	and we 77	as we 58	when we 44	if we 37	which we 36	but we 28	If we 21	think we 21	what we 21	so we 19	But we 17	do we 17	And we 14	can we 14	time we 12	So we 11	When we 11
_ we _	as we shall 13	that we can 13
_ we _ _	as we shall see 11
_ we _ see	as we shall see 11
_ we can	that we can 13
_ we shall	as we shall 13
_ we shall _	as we shall see 11
_ we shall see	as we shall see 11
_ wear	to wear 18
_ weather	the weather 15
_ wedding	the wedding 12
_ week	a week 72	per week 23	the week 17
_ weeks	three weeks 18
_ weight	the weight 26	your weight 12
_ well	as well 213	may well 38	is well 32	very well 26	and well 19	are well 18	As well 17	could well 16
_ well _	as well as 136	As well as 17	may well be 15
_ well _ _	as well as the 19
_ well _ the	as well as the 19
_ well as	as well as 136	As well as 17
_ well as _	as well as the 19
_ well as the	as well as the 19
_ well be	may well be 15
_ went	I went 67	and went 38	he went 31	she went 17	She went 16	He went 13	we went 13	then went 11
_ went _	I went to 15
_ went to	I went to 15
_ were	they were 185	there were 100	They were 72	you were 59	we were 48	There were 42	and were 41	which were 37	who were 32	people were 24	it were 22	You were 16	eyes were 15	that were 14	These were 11	We were 11	units were 11
_ what	of what 111	know what 94	is what 70	and what 50	see what 38	about what 28	to what 26	with what 26	But what 25	in what 24	that what 23	exactly what 22	was what 20	That what 19	on what 19	from what 18	you what 18	not what 17	And what 16	So what 16	for what 15	knew what 14	me what 14	do what 13	or what 12	by what 11	out what 11	understand what 11
_ what I	know what I 12
_ what _	know what to 19	of what is 17	know what I 12	know what you 12	know what it 11
_ what _ _	know what to say 12
_ what _ say	know what to say 12
_ what is	of what is 17
_ what it	know what it 11
_ what to	know what to 19
_ what to _	know what to say 12
_ what to say	know what to say 12
_ what you	know what you 12
_ wheel	main wheel 15	the wheel 12
_ when	and when 39	that when 26	even when 20	is when 17	But when 16	but when 15	in when 14	time when 14	especially when 13	only when 13	And when 12
_ where	and where 17	place where 14	area where 12	know where 12
_ whether	and whether 13
_ which	in which 204	of which 84	and which 52	from which 49	to which 47	with which 37	on which 35	for which 30	by which 22	one which 20	those which 19	that which 15	the which 15	at which 14	something which 14	work which 12	about which 11	art which 11	but which 11	upon which 11
_ which _	in which the 43	in which they 16	in which he 14	in which to 12	in which it 11	of which are 11
_ which are	of which are 11
_ which he	in which he 14
_ which it	in which it 11
_ which the	in which the 43
_ which they	in which they 16
_ which to	in which to 12
_ while	a while 51
_ white	and white 26	a white 17	of white 17	the white 14
_ who	those who 111	people who 92	and who 32	man who 28	someone who 23	person who 21	one who 16	woman who 14	Those who 13	anyone who 12	but who 11	men who 11	women who 11
_ who _	people who are 15	those who are 13	those who have 13	people who have 11
_ who are	people who are 15	those who are 13
_ who have	those who have 13	people who have 11
_ whole	the whole 146	a whole 50	The whole 16
_ whole _	the whole of 18	the whole thing 11
_ whole of	the whole of 18
_ whole thing	the whole thing 11
_ whom	of whom 18	with whom 13
_ why	is why 25	But why 19	know why 19	That why 15	And why 14	reason why 12	and why 11
_ wide	a wide 43
_ wide _	a wide range 16
_ wide _ _	a wide range of 16
_ wide _ of	a wide range of 16
_ wide range	a wide range 16
_ wide range _	a wide range of 16
_ wide range of	a wide range of 16
_ wife	his wife 38
_ will	you will 166	it will 119	they will 79	I will 78	and will 71	which will 62	You will 51	It will 37	there will 37	This will 36	we will 35	They will 32	he will 31	that will 31	this will 28	We will 25	who will 24	There will 21	people will 20	He will 14	glider will 13	What will 11	the will 11
_ will _	it will be 32	you will be 30	there will be 20	you will have 20	which will be 17	you will need 17	It will be 15	There will be 13	and will be 13	we will be 11
_ will _ _	you will need to 14
_ will _ to	you will need to 14
_ will be	it will be 32	you will be 30	there will be 20	which will be 17	It will be 15	There will be 13	and will be 13	we will be 11
_ will have	you will have 20
_ will need	you will need 17
_ will need _	you will need to 14
_ will need to	you will need to 14
_ win	to win 25
_ wind	the wind 77	into wind 25
_ window	the window 36
_ windows	the windows 12
_ wine	of wine 23	the wine 15
_ wing	the wing 27
_ wings	the wings 39
_ winter	the winter 23	in winter 12
_ wish	I wish 21	you wish 17
_ wish _	you wish to 12
_ wish to	you wish to 12
_ with	and with 98	up with 78	do with 53	in with 48	it with 48	people with 42	along with 35	deal with 32	together with 32	you with 32	love with 31	on with 31	cope with 30	them with 29	dealing with 28	work with 27	associated with 26	out with 25	this with 24	but with 23	working with 23	him with 22	the with 22	down with 20	her with 20	me with 20	away with 19	concerned with 19	problems with 19	those with 19	fitted with 18	problem with 18	touch with 18	back with 17	be with 17	compared with 17	off with 17	or with 17	well with 17	as with 16	association with 16	dealt with 16	done with 15	live with 15	filled with 14	is with 14	made with 14	said with 14	contact with 13	day with 13	help with 13	not with 13	time with 13	bed with 12	combined with 12	connected with 12	home with 12	ill with 12	interfere with 12	man with 12	now with 12	of with 12	room with 12	there with 12	And with 11	bench with 11	familiar with 11	only with 11	relationship with 11	used with 11	way with 11
_ with _	and with the 22	and with a 20	in with the 15	up with the 15	love with you 14	do with the 12	cope with the 11
_ with a	and with a 20
_ with the	and with the 22	in with the 15	up with the 15	do with the 12	cope with the 11
_ with you	love with you 14
_ wo	you wo 16	I wo 11
_ woman	a woman 52	the woman 50	The woman 16	young woman 14	A woman 12	old woman 11
_ womb	the womb 13
_ women	the women 23	and women 18	for women 14	men women 13	of women 12
_ women _	men women and 12
_ women _ _	men women and children 11
_ women _ children	men women and children 11
_ women and	men women and 12
_ women and _	men women and children 11
_ women and children	men women and children 11
_ wonderful	a wonderful 12
_ wood	the wood 16	of wood 14	in wood 11
_ word	the word 37	a word 35
_ words	the words 54	other words 23	The words 11
_ work	the work 129	to work 124	of work 46	his work 33	a work 28	at work 23	their work 23	I work 13
_ work _	the work of 49	a work of 16	to work with 12
_ work _ _	a work of art 14
_ work _ art	a work of art 14
_ work of	the work of 49	a work of 16
_ work of _	a work of art 14
_ work of art	a work of art 14
_ work with	to work with 12
_ worked	have worked 11
_ working	the working 18	of working 12
_ works	the works 16	of works 13
_ world	the world 249	a world 33	external world 12
_ world _	the world of 32	the world and 16
_ world and	the world and 16
_ world of	the world of 32
_ worry	to worry 14	Do worry 12
_ worst	the worst 20
_ worth	is worth 20
_ would	I would 185	it would 105	he would 68	they would 63	you would 61	It would 56	she would 54	who would 32	we would 30	which would 28	that would 26	and would 25	He would 17	there would 17	She would 13	That would 12	This would 12	What would 12	this would 12	They would 11
_ would _	it would be 53	I would have 27	I would like 26	It would be 23	you would like 18	I would be 16	I would not 14	he would have 12	there would be 12
_ would _ _	I would like to 23
_ would _ to	I would like to 23
_ would be	it would be 53	It would be 23	I would be 16	there would be 12
_ would have	I would have 27	he would have 12
_ would like	I would like 26	you would like 18
_ would like _	I would like to 23
_ would like to	I would like to 23
_ would not	I would not 14
_ write	to write 48	I write 13
_ writer	the writer 30	a writer 18
_ written	had written 29	has written 13
_ wrong	the wrong 38
_ wrote	he wrote 664	and wrote 19
_ wrote I	he wrote I 12
_ wrote _	he wrote and 44	he wrote but 31	he wrote it 19	he wrote is 14	he wrote I 12
_ wrote _ Goldberg	he wrote and Goldberg 15
_ wrote _ _	he wrote and Goldberg 15
_ wrote and	he wrote and 44
_ wrote and Goldberg	he wrote and Goldberg 15
_ wrote and _	he wrote and Goldberg 15
_ wrote but	he wrote but 31
_ wrote is	he wrote is 14
_ wrote it	he wrote it 19
_ year	a year 81	this year 68	the year 63	last year 58	This year 23	next year 20	each year 14	that year 11
_ years	two years 34	for years 33	three years 33	the years 30	five years 29	few years 24	ten years 24	recent years 18	many years 16	of years 16	six years 14	eight years 13	to years 13	four years 12	several years 12	twenty years 12	hundred years 11	some years 11
_ yes	Oh yes 14
_ yet	and yet 29	not yet 23	And yet 20
_ you	if you 342	If you 303	that you 221	do you 168	when you 126	and you 125	as you 110	what you 109	for you 107	are you 88	Do you 84	to you 82	with you 68	tell you 64	think you 54	Are you 53	of you 53	give you 49	but you 45	did you 45	help you 44	have you 41	which you 41	Did you 40	how you 37	so you 36	Would you 34	then you 34	time you 33	Thank you 32	before you 32	know you 32	where you 32	would you 32	see you 30	And you 29	love you 29	Have you 28	because you 27	When you 26	But you 25	thank you 25	sure you 24	about you 23	like you 22	said you 21	will you 21	or you 20	the you 20	told you 20	unless you 20	Could you 19	at you 19	from you 19	thought you 19	way you 19	Can you 18	all you 18	can you 18	you you 18	advise you 16	get you 16	on you 16	why you 16	As you 15	Well you 15	it you 15	now you 15	want you 15	until you 14	whether you 14	Once you 13	is you 13	mean you 13	though you 13	hope you 12	make you 12	than you 12	were you 12	So you 11	after you 11	ask you 11	course you 11	find you 11	least you 11	more you 11
_ you _	if you are 74	If you are 65	If you have 39	that you are 37	if you have 34	that you have 29	for you to 27	do you think 26	when you are 24	Do you think 23	that you can 23	If you do 22	if you do 20	If you want 18	do you mean 17	and you will 16	if you can 16	if you like 15	give you a 14	are you going 13	tell you about 13	Do you know 12	Would you like 12	If you would 11	and you can 11	and you should 11	do you want 11
_ you _ _	If you want to 12	If you would like 11	are you going to 11
_ you _ like	If you would like 11
_ you _ to	If you want to 12	are you going to 11
_ you a	give you a 14
_ you about	tell you about 13
_ you are	if you are 74	If you are 65	that you are 37	when you are 24
_ you can	that you can 23	if you can 16	and you can 11
_ you do	If you do 22	if you do 20
_ you going	are you going 13
_ you going _	are you going to 11
_ you going to	are you going to 11
_ you have	If you have 39	if you have 34	that you have 29
_ you know	Do you know 12
_ you like	if you like 15	Would you like 12
_ you mean	do you mean 17
_ you should	and you should 11
_ you think	do you think 26	Do you think 23
_ you to	for you to 27
_ you want	If you want 18	do you want 11
_ you want _	If you want to 12
_ you want to	If you want to 12
_ you will	and you will 16
_ you would	If you would 11
_ you would _	If you would like 11
_ you would like	If you would like 11
_ young	a young 45	the young 35	of young 16	The young 11
_ young _	a young man 11
_ young man	a young man 11
_ your	of your 183	with your 96	in your 76	to your 76	and your 62	on your 55	for your 42	that your 42	from your 39	If your 35	at your 31	about your 22	if your 21	all your 20	by your 18	keep your 18	as your 17	up your 17	contact your 16	or your 16	see your 16	have your 15	get your 14	turn your 14	it your 12	out your 12	you your 12	be your 11	make your 11	than your 11
_ your _	in your area 18	of your local 14	from your local 11	to your doctor 11
_ your area	in your area 18
_ your doctor	to your doctor 11
_ your local	of your local 14	from your local 11
_ yourself	of yourself 12
_ zanne	eacute zanne 16
a	a 17017
a British	a British 11
a _	a few 208	a good 198	a little 198	a new 189	a very 150	a lot 130	a great 120	a small 113	a bit 106	a number 95	a man 91	a year 81	a particular 80	a long 77	a large 73	a week 72	a moment 69	a single 61	a more 59	a full 52	a time 52	a woman 52	a while 51	a whole 50	a major 49	a matter 49	a place 49	a way 49	a certain 48	a high 47	a problem 47	a strong 47	a result 46	a series 46	a couple 45	a day 45	a different 45	a second 45	a young 45	a better 44	a book 43	a short 43	a wide 43	a period 42	a piece 42	a special 41	a variety 41	a and 39	a bad 38	a further 38	a person 37	a child 36	a group 36	a picture 35	a story 35	a word 35	a big 34	a chance 34	a simple 34	a world 33	a student 32	a fine 31	a in 31	a sense 31	a similar 30	a thing 30	a real 29	a kind 28	a minute 28	a work 28	a national 27	a friend 26	a job 26	a look 26	a ballet 25	a critic 25	a doctor 25	a drink 25	a part 25	a personal 25	a range 25	a reader 25	a slight 25	a cigarette 24	a grant 24	a local 24	a much 24	a or 24	a point 24	a third 24	a clear 23	a hand 23	a hard 23	a letter 23	a pound 23	a powerful 23	a rather 23	a strange 23	a half 22	a of 22	a proper 22	a reverse 22	a bottle 21	a first 21	a low 21	a pair 21	a sort 21	a to 21	a beer 20	a black 20	a car 20	a general 20	a million 20	a natural 20	a normal 20	a position 20	a question 20	a regular 20	a brief 19	a case 19	a common 19	a hundred 19	a month 19	a quick 19	a safe 19	a significant 19	a sudden 19	a change 18	a cup 18	a field 18	a girl 18	a glider 18	a handful 18	a member 18	a note 18	a total 18	a writer 18	a chair 17	a character 17	a combination 17	a greater 17	a home 17	a policy 17	a pub 17	a serious 17	a style 17	a system 17	a white 17	a catalogue 16	a country 16	a degree 16	a fair 16	a feature 16	a form 16	a key 16	a launch 16	a light 16	a pilot 16	a pint 16	a private 16	a state 16	a suitable 16	a tree 16	a copy 15	a family 15	a garden 15	a heavy 15	a hot 15	a huge 15	a list 15	a lovely 15	a means 15	a mere 15	a recent 15	a rule 15	a sentence 15	a service 15	a slightly 15	a baby 14	a cable 14	a close 14	a competition 14	a dancer 14	a free 14	a glass 14	a hotel 14	a partner 14	a poem 14	a quarter 14	a separate 14	a situation 14	a soft 14	a step 14	a survey 14	a teacher 14	a thousand 14	a boy 13	a bright 13	a cold 13	a complete 13	a cool 13	a direct 13	a firm 13	a foot 13	a front 13	a healthy 13	a lack 13	a nice 13	a political 13	a really 13	a red 13	a sign 13	a snap 13	a start 13	a study 13	a swing 13	a team 13	a tendency 13	a theme 13	a true 13	a business 12	a century 12	a computer 12	a constant 12	a contract 12	a course 12	a difference 12	a dozen 12	a fast 12	a higher 12	a house 12	a message 12	a mixture 12	a need 12	a particularly 12	a perfect 12	a roundhouse 12	a scheme 12	a show 12	a stall 12	a table 12	a tall 12	a theory 12	a training 12	a unique 12	a vital 12	a warm 12	a wonderful 12	a British 11	a bar 11	a beautiful 11	a blue 11	a central 11	a choreographer 11	a description 11	a feeling 11	a film 11	a for 11	a funeral 11	a golden 11	a habit 11	a law 11	a lifetime 11	a limited 11	a line 11	a measure 11	a meeting 11	a move 11	a movement 11	a pattern 11	a penalty 11	a physical 11	a play 11	a possibility 11	a possible 11	a professional 11	a property 11	a quiet 11	a reasonable 11	a report 11	a room 11	a rush 11	a sculpture 11	a selection 11	a set 11	a source 11	a spot 11	a statement 11	a straight 11	a substantial 11	a text 11	a the 11	a university 11	a visit 11
a _ _	a number of 88	a lot of 70	a great deal 51	a matter of 46	a series of 43	a variety of 41	a couple of 36	a piece of 35	a bit of 31	a result of 27	a range of 25	a kind of 22	a long time 22	a reverse punch 22	a group of 21	a sort of 20	a few minutes 18	a member of 18	a pair of 18	a period of 18	a sense of 18	a part of 17	a way of 17	a cup of 16	a good idea 16	a little more 16	a wide range 16	a work of 16	a chance to 15	a few days 15	a form of 14	a look at 14	a man of 14	a few seconds 13	a handful of 13	a means of 13	a full point 12	a lack of 12	a mixture of 12	a way that 12	a bottle of 11	a combination of 11	a degree of 11	a selection of 11	a young man 11
a _ _ _	a great deal of 24	a wide range of 16	a work of art 14	a member of the 11
a _ _ art	a work of art 14
a _ _ of	a great deal of 24	a wide range of 16
a _ _ the	a member of the 11
a _ at	a look at 14
a _ days	a few days 15
a _ deal	a great deal 51
a _ deal _	a great deal of 24
a _ deal of	a great deal of 24
a _ idea	a good idea 16
a _ man	a young man 11
a _ minutes	a few minutes 18
a _ more	a little more 16
a _ of	a number of 88	a lot of 70	a matter of 46	a series of 43	a variety of 41	a couple of 36	a piece of 35	a bit of 31	a result of 27	a range of 25	a kind of 22	a group of 21	a sort of 20	a member of 18	a pair of 18	a period of 18	a sense of 18	a part of 17	a way of 17	a cup of 16	a work of 16	a form of 14	a man of 14	a handful of 13	a means of 13	a lack of 12	a mixture of 12	a bottle of 11	a combination of 11	a degree of 11	a selection of 11
a _ of _	a work of art 14	a member of the 11
a _ of art	a work of art 14
a _ of the	a member of the 11
a _ point	a full point 12
a _ punch	a reverse punch 22
a _ range	a wide range 16
a _ range _	a wide range of 16
a _ range of	a wide range of 16
a _ seconds	a few seconds 13
a _ that	a way that 12
a _ time	a long time 22
a _ to	a chance to 15
a and	a and 39
a baby	a baby 14
a bad	a bad 38
a ballet	a ballet 25
a bar	a bar 11
a beautiful	a beautiful 11
a beer	a beer 20
a better	a better 44
a big	a big 34
a bit	a bit 106
a bit _	a bit of 31
a bit of	a bit of 31
a black	a black 20
a blue	a blue 11
a book	a book 43
a bottle	a bottle 21
a bottle _	a bottle of 11
a bottle of	a bottle of 11
a boy	a boy 13
a brief	a brief 19
a bright	a bright 13
a business	a business 12
a cable	a cable 14
a car	a car 20
a case	a case 19
a catalogue	a catalogue 16
a central	a central 11
a century	a century 12
a certain	a certain 48
a chair	a chair 17
a chance	a chance 34
a chance _	a chance to 15
a chance to	a chance to 15
a change	a change 18
a character	a character 17
a child	a child 36
a choreographer	a choreographer 11
a cigarette	a cigarette 24
a clear	a clear 23
a close	a close 14
a cold	a cold 13
a combination	a combination 17
a combination _	a combination of 11
a combination of	a combination of 11
a common	a common 19
a competition	a competition 14
a complete	a complete 13
a computer	a computer 12
a constant	a constant 12
a contract	a contract 12
a cool	a cool 13
a copy	a copy 15
a country	a country 16
a couple	a couple 45
a couple _	a couple of 36
a couple of	a couple of 36
a course	a course 12
a critic	a critic 25
a cup	a cup 18
a cup _	a cup of 16
a cup of	a cup of 16
a dancer	a dancer 14
a day	a day 45
a degree	a degree 16
a degree _	a degree of 11
a degree of	a degree of 11
a description	a description 11
a difference	a difference 12
a different	a different 45
a direct	a direct 13
a doctor	a doctor 25
a dozen	a dozen 12
a drink	a drink 25
a fair	a fair 16
a family	a family 15
a fast	a fast 12
a feature	a feature 16
a feeling	a feeling 11
a few	a few 208
a few _	a few minutes 18	a few days 15	a few seconds 13
a few days	a few days 15
a few minutes	a few minutes 18
a few seconds	a few seconds 13
a field	a field 18
a film	a film 11
a fine	a fine 31
a firm	a firm 13
a first	a first 21
a foot	a foot 13
a for	a for 11
a form	a form 16
a form _	a form of 14
a form of	a form of 14
a free	a free 14
a friend	a friend 26
a front	a front 13
a full	a full 52
a full _	a full point 12
a full point	a full point 12
a funeral	a funeral 11
a further	a further 38
a garden	a garden 15
a general	a general 20
a girl	a girl 18
a glass	a glass 14
a glider	a glider 18
a golden	a golden 11
a good	a good 198
a good _	a good idea 16
a good idea	a good idea 16
a grant	a grant 24
a great	a great 120
a great _	a great deal 51
a great _ _	a great deal of 24
a great _ of	a great deal of 24
a great deal	a great deal 51
a great deal _	a great deal of 24
a great deal of	a great deal of 24
a greater	a greater 17
a group	a group 36
a group _	a group of 21
a group of	a group of 21
a habit	a habit 11
a half	a half 22
a hand	a hand 23
a handful	a handful 18
a handful _	a handful of 13
a handful of	a handful of 13
a hard	a hard 23
a healthy	a healthy 13
a heavy	a heavy 15
a high	a high 47
a higher	a higher 12
a home	a home 17
a hot	a hot 15
a hotel	a hotel 14
a house	a house 12
a huge	a huge 15
a hundred	a hundred 19
a in	a in 31
a job	a job 26
a key	a key 16
a kind	a kind 28
a kind _	a kind of 22
a kind of	a kind of 22
a lack	a lack 13
a lack _	a lack of 12
a lack of	a lack of 12
a large	a large 73
a launch	a launch 16
a law	a law 11
a letter	a letter 23
a lifetime	a lifetime 11
a light	a light 16
a limited	a limited 11
a line	a line 11
a list	a list 15
a little	a little 198
a little _	a little more 16
a little more	a little more 16
a local	a local 24
a long	a long 77
a long _	a long time 22
a long time	a long time 22
a look	a look 26
a look _	a look at 14
a look at	a look at 14
a lot	a lot 130
a lot _	a lot of 70
a lot of	a lot of 70
a lovely	a lovely 15
a low	a low 21
a major	a major 49
a man	a man 91
a man _	a man of 14
a man of	a man of 14
a matter	a matter 49
a matter _	a matter of 46
a matter of	a matter of 46
a means	a means 15
a means _	a means of 13
a means of	a means of 13
a measure	a measure 11
a meeting	a meeting 11
a member	a member 18
a member _	a member of 18
a member _ _	a member of the 11
a member _ the	a member of the 11
a member of	a member of 18
a member of _	a member of the 11
a member of the	a member of the 11
a mere	a mere 15
